section,compte,intitule,debit,credit,solde,nb
CLIENTS,CAFDAS,AFDAS,475983.08,400108.33,75874.75,34
CLIENTS,CAKTO,AKTO,15445.8,15269.6,176.2,6
CLIENTS,CAURAR,AURAR,24600.0,24600.0,0.0,4
CLIENTS,CAURILLAC,AURILLAC,2250.0,2250.0,0.0,4
CLIENTS,COPCO,OPCO,10227.42,6525.42,3702.0,4
CLIENTS,CROCHELLE,LA ROCHELLE,3850.0,3850.0,0.0,2
CLIENTS,CSOC,STADE OLYMPIQUE CHAMBERIEN,750.0,750.0,0.0,2
FOURNISSEURS,FADSYSTEM,ADSYSTEM,3102.06,3102.06,0.0,2
FOURNISSEURS,FAMAZON,AMAZON,199.98,199.98,0.0,2
FOURNISSEURS,FANTHROPIC,ANTHROPIC (CLAUDE),1296.36,1296.36,0.0,2
FOURNISSEURS,FAPRR,APRR,184.7,184.7,0.0,24
FOURNISSEURS,FAVOCAT,AVOCAT,3244.42,3244.42,0.0,15
FOURNISSEURS,FBBL,BBL HOLDING,2668.8,2668.8,0.0,6
FOURNISSEURS,FBENALI,ERWAN BENALI,15000.0,15000.0,0.0,2
FOURNISSEURS,FBOLT,BOLT,2016.92,2016.92,0.0,4
FOURNISSEURS,FBOULANGER,BOULANGER,1946.72,1946.72,0.0,4
FOURNISSEURS,FBOURRIER,BOURRIER CAMILLE,3508.0,3508.0,0.0,4
FOURNISSEURS,FBOUYGUES,BOUYGUES,3211.25,3468.75,-257.5,20
FOURNISSEURS,FBRUNET,BRUNET,250.0,250.0,0.0,2
FOURNISSEURS,FBUREAU,BUREAU VALLEE,323.41,323.41,0.0,2
FOURNISSEURS,FCANVA,CANVA,270.0,270.0,0.0,2
FOURNISSEURS,FCARREFOUR,CARREFOUR,449.99,449.99,0.0,2
FOURNISSEURS,FCELLES,L'ECOLE POUR CELLES,6965.9,5775.0,1190.9,9
FOURNISSEURS,FCLEMENT,CLEMENT PHILIP,720.0,720.0,0.0,2
