idx,section,compte,intitule,date,piece,jnl,libelle,debit,credit,solde,lettrage,page
0,CLIENTS,CAFDAS,AFDAS,04/09/2025,AFDAS-2,VE,AFDAS,17995.5,,17995.5,A,1
1,CLIENTS,CAFDAS,AFDAS,12/09/2025,AFDAS-4,VE,AFDAS,15464.64,,33460.14,A,1
2,CLIENTS,CAFDAS,AFDAS,17/09/2025,AFDAS-5,VE,AFDAS,21384.92,,54845.06,A,1
3,CLIENTS,CAFDAS,AFDAS,18/09/2025,AFDAS-6,VE,AFDAS,28196.64,,83041.7,A,1
4,CLIENTS,CAFDAS,AFDAS,23/09/2025,AFDAS-7,VE,AFDAS,30409.82,,113451.52,A,1
5,CLIENTS,CAFDAS,AFDAS,13/10/2025,D0RWZZY,BQ,EVI AFDAS,,113451.52,0.0,A,1
6,CLIENTS,CAFDAS,AFDAS,07/01/2026,AFDAS-10,VE,AFDAS,66811.37,,66811.37,B,1
7,CLIENTS,CAFDAS,AFDAS,08/01/2026,AFDAS-11,VE,AFDAS,17920.0,,84731.37,B,1
8,CLIENTS,CAFDAS,AFDAS,27/01/2026,17RDKL3,BQ,EVI AFDAS,,66811.37,17920.0,B,1
9,CLIENTS,CAFDAS,AFDAS,30/01/2026,1EDKGWZ,BQ,EVI A F D A S,,17920.0,0.0,B,1
10,CLIENTS,CAFDAS,AFDAS,17/02/2026,AFDAS-13,VE,AFDAS,38295.09,,38295.09,B,1
11,CLIENTS,CAFDAS,AFDAS,04/03/2026,2VAQN92,BQ,EVI A F D A S,,38295.09,0.0,B,1
12,CLIENTS,CAFDAS,AFDAS,13/03/2026,AFDAS-15,VE,AFDAS,6287.3,,6287.3,B,1
13,CLIENTS,CAFDAS,AFDAS,08/04/2026,4H6IPCX,BQ,EVI AFDAS,,6287.3,0.0,B,1
14,CLIENTS,CAFDAS,AFDAS,21/04/2026,AFDAS-16,VE,AFDAS,30480.09,,30480.09,B,1
15,CLIENTS,CAFDAS,AFDAS,04/05/2026,AFDAS-17,VE,AFDAS,3936.0,,34416.09,B,1
16,CLIENTS,CAFDAS,AFDAS,19/05/2026,AFDAS-19,VE,AFDAS,5100.0,,39516.09,B,1
17,CLIENTS,CAFDAS,AFDAS,01/06/2026,6V6INQN,BQ,EVI AFDAS,,3936.0,35580.09,B,1
18,CLIENTS,CAFDAS,AFDAS,01/06/2026,6V6K4WI,BQ,EVI A F D A S,,30480.09,5100.0,B,1
19,CLIENTS,CAFDAS,AFDAS,02/06/2026,70555XT,BQ,EVI A F D A S,,5100.0,0.0,B,1
20,CLIENTS,CAFDAS,AFDAS,15/06/2026,AFDAS-26,VE,AFDAS,12032.24,,12032.24,C,1
21,CLIENTS,CAFDAS,AFDAS,15/06/2026,AFDAS-25,VE,AFDAS,1500.6,,13532.84,C,1
22,CLIENTS,CAFDAS,AFDAS,17/06/2026,AFDAS-27,VE,AFDAS,28907.13,,42439.97,C,1
23,CLIENTS,CAFDAS,AFDAS,26/06/2026,83U1YCV,BQ,EVI A F D A S,,12032.24,30407.73,C,1
24,CLIENTS,CAFDAS,AFDAS,29/06/2026,85HJPSE,BQ,EVI AFDAS,,1500.6,28907.13,C,1
25,CLIENTS,CAFDAS,AFDAS,02/07/2026,AFDAS-29,VE,AFDAS,4480.0,,33387.13,C,1
26,CLIENTS,CAFDAS,AFDAS,02/07/2026,AFDAS-28,VE,AFDAS,63936.19,,97323.32,C,1
27,CLIENTS,CAFDAS,AFDAS,02/07/2026,8DR8VY0,BQ,EVI AFDAS,,28907.13,68416.19,C,1
28,CLIENTS,CAFDAS,AFDAS,03/07/2026,AFDAS-30,VE,AFDAS,6970.8,,75386.99,D,1
29,CLIENTS,CAFDAS,AFDAS,21/07/2026,996FTAL,BQ,EVI A F D A S,,4480.0,70906.99,C,1
30,CLIENTS,CAFDAS,AFDAS,22/07/2026,9ATY1O8,BQ,EVI AFDAS,,63936.19,6970.8,C,1
31,CLIENTS,CAFDAS,AFDAS,28/07/2026,AFDAS-31,VE,AFDAS,67381.26,,74352.06,,1
32,CLIENTS,CAFDAS,AFDAS,28/07/2026,AFDAS-32,VE,AFDAS,8493.49,,82845.55,,1
33,CLIENTS,CAFDAS,AFDAS,31/07/2026,9PPSU5I,BQ,EVI AFDAS,,6970.8,75874.75,D,1
34,CLIENTS,CAKTO,AKTO,27/07/2026,9FSKWP5,BQ,EVI AKTO,,15269.6,-15269.6,,1
35,CLIENTS,CAKTO,AKTO,28/07/2026,2026-006,VE,AKTO,3833.2,,-11436.4,,1
36,CLIENTS,CAKTO,AKTO,28/07/2026,2026-007,VE,AKTO,4151.0,,-7285.4,,1
37,CLIENTS,CAKTO,AKTO,28/07/2026,2026-008,VE,AKTO,2691.3,,-4594.1,,1
38,CLIENTS,CAKTO,AKTO,28/07/2026,2026-009,VE,AKTO,2691.3,,-1902.8,,1
39,CLIENTS,CAKTO,AKTO,28/07/2026,2026-010,VE,AKTO,2079.0,,176.2,,1
40,CLIENTS,CAURAR,AURAR,07/02/2026,AURAR1,VE,AURAR,12230.0,,12230.0,A,1
41,CLIENTS,CAURAR,AURAR,30/03/2026,3YZNCJW,BQ,EVI LIGUE REGIONALE AUVERGNE,,12230.0,0.0,A,1
42,CLIENTS,CAURAR,AURAR,11/06/2026,AURAR-2,VE,AURAR,12370.0,,12370.0,B,1
43,CLIENTS,CAURAR,AURAR,06/07/2026,8H2ALJK,BQ,EVI LIGUE REGIONALE AUVERGNE,,12370.0,0.0,B,2
44,CLIENTS,CAURILLAC,AURILLAC,17/02/2026,AURILLAC-2,VE,AURILLAC,750.0,,750.0,A,2
45,CLIENTS,CAURILLAC,AURILLAC,17/02/2026,AURILLAC-1,VE,AURILLAC,1500.0,,2250.0,A,2
46,CLIENTS,CAURILLAC,AURILLAC,13/05/2026,64PVW1F,BQ,EVI SA STADE AURILLACOIS,,1500.0,750.0,A,2
47,CLIENTS,CAURILLAC,AURILLAC,07/07/2026,8NOFTWO,BQ,EVI ASSOC. STADE AURILLACOIS - FACTURE AURILLAC-2,,750.0,0.0,A,2
48,CLIENTS,COPCO,OPCO,08/01/2026,OPCOEP-1,VE,OPCO,6025.42,,6025.42,A,2
49,CLIENTS,COPCO,OPCO,08/01/2026,OPCOEP-2,VE,OPCO,500.0,,6525.42,A,2
50,CLIENTS,COPCO,OPCO,02/02/2026,1EDKOBG,BQ,EVI OPCO EP FORMATION DEPENS,,6525.42,0.0,A,2
51,CLIENTS,COPCO,OPCO,28/07/2026,2026-011,VE,OPCO,3702.0,,3702.0,,2
52,CLIENTS,CROCHELLE,LA ROCHELLE,18/02/2026,LAROCHELLE1,VE,LA ROCHELLE,3850.0,,3850.0,A,2
53,CLIENTS,CROCHELLE,LA ROCHELLE,31/03/2026,45LSNBJ,BQ,EVI SAS STADE ROCHELAIS,,3850.0,0.0,A,2
54,CLIENTS,CSOC,STADE OLYMPIQUE CHAMBERIEN,17/02/2026,SOC-1,VE,STADE OLYMPIQUE CHAMBERIEN,750.0,,750.0,A,2
55,CLIENTS,CSOC,STADE OLYMPIQUE CHAMBERIEN,02/03/2026,2OOMFPA,BQ,EVI STADE OLYMPIQUE RUGBY - FACTURE SOC-1,,750.0,0.0,A,2
56,FOURNISSEURS,FADSYSTEM,ADSYSTEM,09/02/2026,26001913,AC,ADSYSTEM,,3102.06,-3102.06,A,3
57,FOURNISSEURS,FADSYSTEM,ADSYSTEM,11/02/2026,W7CW6IA,BQ,VIR INST POUR XAVIER GAUSSENS RBRT SUPPORT DE COMM,3102.06,,0.0,A,3
58,FOURNISSEURS,FAMAZON,AMAZON,24/06/2025,8663505,AC,AMAZON,,199.98,-199.98,A,3
59,FOURNISSEURS,FAMAZON,AMAZON,01/07/2025,W5X62WU,BQ,VIR INST FRAIS JUIN SEBASTIEN,199.98,,0.0,A,3
60,FOURNISSEURS,FANTHROPIC,ANTHROPIC (CLAUDE),03/04/2026,,AC,ANTHROPIC,,1296.36,-1296.36,A,3
